Caster,Victim,Success
Bellatrix Lestrange,Patricia Rakepick,Successful
Bellatrix Lestrange,Merula Snyde,Successful
Bellatrix Lestrange,Unidentified Metamorphmagus Dark wizard,Successful
Bellatrix Lestrange,Borgin,Successful
Harry Potter,Avery II,Successful
Harry Potter,Peter Pettigrew,Successful
Harry Potter,Garrick Ollivander,Successful
Harry Potter,Bartemius Crouch Jnr,Successful
Harry Potter,Viktor Krum,Successful
Hermione Granger,Death Eaters,Successful
Hermione Granger,Ted Tonks,Successful
Hermione Granger,Andromeda Tonks,Successful
Draco Malfoy,Antonin Dolohov,Successful
Draco Malfoy,Alecto Carrow,Successful
Draco Malfoy,Amycus Carrow,Successful
Draco Malfoy,"Carrows,Vincent Crabbe, andGregory Goyle",Successful
Draco Malfoy,Seamus Finnigan,Successful
Draco Malfoy,D.A.members,Successful
Draco Malfoy,Hogwartsstudents,Successful
Harry Potter,Delphini,Successful
Harry Potter,Unidentified Metamorphmagus Dark wizard,Successful
Harry Potter,Borgin,Successful
Draco Malfoy,Vincent Crabbe,Unsuccessful
Lord Voldemort,Merula Snyde,Unsuccessful
Severus Snape,Amycus Carrow,Unsuccessful
