disarming_spell_data_with_success
Caster,Victim,Success
Albus Dumbledore,Severus Snape,Successful
Draco Malfoy,Albus Dumbledore,Successful
Draco Malfoy,Harry Potter,Successful
Severus Snape,Gilderoy Lockhart,Successful
Severus Snape,Harry Potter,Successful
Harry Potter,Draco Malfoy,Successful
Harry Potter,Gilderoy Lockhart,Successful
Harry Potter,Gilderoy Lockhart,Successful
Harry Potter,Severus Snape,Successful
Harry Potter,Peter Pettigrew,Successful
Harry Potter,Acromantula,Successful
Harry Potter,Lord Voldemort,Successful
Harry Potter,Lucius Malfoy,Successful
Harry Potter,Stan Shunpike,Successful
Harry Potter,Gregory Goyle,Successful
Harry Potter,Lord Voldemort,Successful
Harry Potter,Draco Malfoy,Successful
Hermione Granger,Mundungus Fletcher,Successful
Ron Weasley,Snatcher,Successful
Ron Weasley,Bellatrix Lestrange,Successful
Neville Longbottom,Death Eater,Successful
Neville Longbottom,Harry Potter,Successful
Lord Voldemort,Neville Longbottom,Successful
