Caster,Victim,Success
Neville Longbottom,Dean Thomas,Successful
Neville Longbottom,Lavender Brown,Successful
Neville Longbottom,Viktor Krum,Successful
Lord Voldemort,Lucius Malfoy,Successful
Lord Voldemort,Broderick Bode,Successful
Lord Voldemort,An unknownDeath Eater,Successful
Draco Malfoy,Madam Rosmerta,Successful
Draco Malfoy,"Unknown, likely a Death Eater",Successful
Draco Malfoy,Corban Yaxley,Successful
Draco Malfoy,An unknownDeath Eater,Successful
Harry Potter,To replace the curse that theThief's Downfallwashed away.,Successful
Harry Potter,Travers,Successful
Harry Potter,Minerva McGonagall,Successful
Harry Potter,Bly,Successful
