Caster,Victim,Success
Lord Voldemort,Thomas Riddle Sir,Successful
Lord Voldemort,Thomas Riddle,Successful
Lord Voldemort,Mary Riddle,Successful
Lord Voldemort,James Potter,Successful
Lord Voldemort,Lily Potter,Successful
Lord Voldemort,Harry Potter,Unsuccessful
Lord Voldemort,Harry Potter,Unsuccessful
Lord Voldemort,Harry Potter,Unsuccessful
Lord Voldemort,Harry Potter,Unsuccessful
Lord Voldemort,Bertha Jorkins,Successful
Lord Voldemort,Frank Bryce,Successful
Lord Voldemort,Fawkes,Unsuccessful
Lord Voldemort,Charity Burbage,Successful
Lord Voldemort,Alastor Moody,Successful
Lord Voldemort,Unnamed German speaking Muggle family,Successful
Lord Voldemort,Unnamed German speaking Muggle family,Successful
Lord Voldemort,Unnamed German speaking Muggle family,Successful
Lord Voldemort,Mykew Gregorovitch,Successful
Lord Voldemort,Gellert Grindelwald,Successful
Lord Voldemort,Unnamed goblin,Successful
Lord Voldemort,Griphook,Successful
Lord Voldemort,Death Eater,Successful
Lord Voldemort,Gringotts guards,Successful
Lord Voldemort,Goblins,Successful
Lord Voldemort,Death Eater,Successful
Peter Pettigrew,Cedric Diggory,Successful
Bellatrix Lestrange,Fox,Successful
Severus Snape,Albus Dumbledore,Successful
Bellatrix Lestrange,Severus Snape,Successful
Bellatrix Lestrange,Ginny Weasley,Unsuccessful
