Caster,Victim,Success
Peter Pettigrew,Crookshanks,Successful
Peter Pettigrew,Bartemius Crouch Junior,Successful
Harry Potter,Acromantula,Successful
Harry Potter,Viktor Krum,Successful
Harry Potter,Crabbe Snr,Successful
Harry Potter,Walden Macnair,Successful
Harry Potter,Death Eaters,Successful
Harry Potter,Thorfinn Rowle,Successful
Harry Potter,Muggle waitress,Successful
Harry Potter,Dolores Umbridge,Successful
Harry Potter,Corban Yaxley,Successful
Harry Potter,Lucius Malfoy,Successful
Harry Potter,Fenrir Greyback,Successful
Harry Potter,Gringotts goblins,Successful
Harry Potter,Acromantula,Successful
Harry Potter,Death Eater,Successful
Albus Dumbledore,Bartemius Crouch Junior,Successful
Dolores Umbridge,George Weasley,Successful
Dolores Umbridge,Fred Weasley,Successful
Neville Longbottom,Padma Patil,Successful
Hermione Granger,Not,Successful
Hermione Granger,Death Eater,Successful
Hermione Granger,Mafalda Hopkirk,Successful
Hermione Granger,Gringotts goblins,Successful
Hermione Granger,Gregory Goyle,Successful
Ron Weasley,A beggar,Successful
Ron Weasley,Gringotts goblins,Successful
Ron Weasley,Acromantula,Successful
Ron Weasley,Death Eater,Successful
Severus Snape,Filius Flitwick,Successful
Bellatrix Lestrange,Snatchers,Successful
Bellatrix Lestrange,Scabior,Successful
Bellatrix Lestrange,Harry Potter,Unsuccessful
Harry Potter,Severus Snape,Unsuccessful
Harry Potter,Bellatrix Lestrange,Unsuccessful
Harry Potter,Blast-Ended Skrewt,Unsuccessful
Harry Potter,Death Eater,Unsuccessful
Harry Potter,Vincent Crabbe,Unsuccessful
Neville Longbottom,Death Eater,Unsuccessful
Neville Longbottom,Death Eater,Unsuccessful
Neville Longbottom,Death Eater,Unsuccessful
Dolores Umbridge,Centaur,Unsuccessful
Dolores Umbridge,Rubeus Hagrid,Unsuccessful
Hermione Granger,Vincent Crabbe,Unsuccessful
Hermione Granger,Draco Malfoy,Unsuccessful
